title,make,model,year,condition,transmission,price
Lexus RX 350 2009 White,Lexus,RX 350,2009,Foreign used,Automatic,12850000.0
Hyundai Sonata Limited w/Brown Leather 4dr Sedan (2.4L 4cyl 6A) 2015,Hyundai,Sonata Limited,2015,Foreign used,Automatic,15450000.0
Toyota Highlander Limited 2012 Gray,Toyota,Highlander Limited,2012,Local used,Automatic,14500000.0
Mercedes-Benz C300 Base AWD 4Matic Sedan (2.0L 4cyl 7A) 2015 Black,Mercedes-Benz,C300 Base,2015,Local used,Automatic,13800000.0
Hyundai Elantra 2014 Silver,Hyundai,Elantra,2014,Foreign used,Automatic,12000000.0
Hyundai Sonata 2015 Blue,Hyundai,Sonata,2015,Foreign used,Automatic,13500000.0
Lexus IS 2010 Black,Lexus,IS,2010,Local used,Automatic,15000000.0
Lexus RX 350 2012 White,Lexus,RX 350,2012,Foreign used,Automatic,19000000.0
Honda Civic Sedan EX 2013 Brown,Honda,Civic Sedan,2013,Foreign used,Automatic,13500000.0
Toyota Camry 2009 Green,Toyota,Camry,2009,Local used,Automatic,6000000.0
Lexus RX 330 2004 Black,Lexus,RX 330,2004,Foreign used,Automatic,11800000.0
Toyota Sienna LE AWD 2005 Blue,Toyota,Sienna LE,2005,Local used,Automatic,4500000.0
Lexus ES 350 2008 Burgundy,Lexus,ES 350,2008,Local used,Automatic,9450000.0
Kia Rio 1.4 Automatic 2007 Silver,Kia,Rio 1,2007,Local used,Automatic,3600000.0
Toyota Sienna CE AWD 2006 Gray,Toyota,Sienna CE,2006,Foreign used,Automatic,10500000.0
Chevrolet Malibu LT 2019 Silver,Chevrolet,Malibu LT,2019,Foreign used,Automatic,21780000.0
Acura MDX Touring 4dr SUV AWD (3.5L 6cyl 5A) 2005 Green,Acura,MDX Touring,2005,Local used,Automatic,3500000.0
Toyota Corolla 2003 Gray,Toyota,Corolla,2003,Local used,Automatic,3800000.0
Land Rover Range Rover Vogue 2016 Black,Land Rover,Rover Range,2016,Foreign used,Automatic,40000000.0
Toyota Highlander XLE 4dr SUV AWD (3.5L 6cyl 6A) 2015 White,Toyota,Highlander XLE,2015,Foreign used,Automatic,28000000.0
Toyota Yaris 2010 Black,Toyota,Yaris,2010,Local used,Manual,4300000.0
Lexus NX 200t FWD 2017 Gray,Lexus,NX 200t,2017,Foreign used,Automatic,39500000.0
Honda Ridgeline 2007 White,Honda,Ridgeline,2007,Local used,Automatic,6000000.0
Ford Focus 2018 Blue,Ford,Focus,2018,Foreign used,Automatic,19500000.0
Honda Accord 2.0 Sport 2008 Black,Honda,Accord 2,2008,Foreign used,Automatic,4000000.0
Lexus ES 2005 Gold,Lexus,ES,2005,Local used,Automatic,3200000.0
Honda Civic 1.8 Sedan EX Automatic 2007 Silver,Honda,Civic 1,2007,Local used,Automatic,4300000.0
Toyota Highlander 2015 Blue,Toyota,Highlander,2015,Local used,Automatic,24000000.0
Toyota Corolla L 4dr Sedan (1.8L 4cyl 5M) 2012 Blue,Toyota,Corolla L,2012,Local used,Automatic,7650000.0
Toyota Sienta 2006 Blue,Toyota,Sienta,2006,Local used,Automatic,4500000.0
Honda Accord 2017 Gray,Honda,Accord,2017,Foreign used,Automatic,18000000.0
Land Rover Range Rover HSE 2005 Silver,Land Rover,Rover Range,2005,Local used,Automatic,6500000.0
Chevrolet Malibu 2016 White,Chevrolet,Malibu,2016,Foreign used,Automatic,13500000.0
Toyota Land Cruiser 5.7 V8 VX-S 2008 White,Toyota,Land Cruiser,2008,Local used,Automatic,14500000.0
Toyota Venza XLE 4dr Wagon AWD (2.7L 4cyl 6A) 2015 Gray,Toyota,Venza XLE,2015,Foreign used,Automatic,25000000.0
Toyota Camry 2013 Black,Toyota,Camry,2013,Local used,Automatic,8750000.0
Hyundai Elantra 2014 Gray,Hyundai,Elantra,2014,Foreign used,Automatic,12500000.0
Honda Accord 2007 Black,Honda,Accord,2007,Local used,Automatic,3490000.0
Toyota Camry 2010 Black,Toyota,Camry,2010,Local used,Automatic,6700000.0
Toyota Corolla 2006 Blue,Toyota,Corolla,2006,Local used,Automatic,5500000.0
Honda Accord 2009 Red,Honda,Accord,2009,Local used,Automatic,5500000.0
Honda Civic 2008 Gray,Honda,Civic,2008,Local used,Automatic,3626000.0
Toyota Camry 2008 Green,Toyota,Camry,2008,Local used,Automatic,4500000.0
Toyota Camry 2008 Black,Toyota,Camry,2008,Local used,Automatic,6600000.0
Toyota Camry 2009 Gold,Toyota,Camry,2009,Local used,Automatic,5950000.0
Honda Crosstour 2010 Gray,Honda,Crosstour,2010,Local used,Automatic,7390000.0
Toyota Camry 2008 Black,Toyota,Camry,2008,Local used,Automatic,4200000.0
Mercedes-Benz C300 Luxury 4Matic Sedan AWD (3.5L 6cyl 7A) 2014 Gray,Mercedes-Benz,C300 Luxury,2014,Foreign used,Automatic,12200000.0
Toyota Camry XLE V6 4dr Sedan (3.5L 6cyl 6A) 2013 Gray,Toyota,Camry XLE,2013,Local used,Automatic,14200000.0
Toyota Camry 2009 Silver,Toyota,Camry,2009,Local used,Automatic,6300000.0
Mercedes-Benz GL-Class GL 450 2010 White,Mercedes-Benz,GL-Class GL,2010,Foreign used,Automatic,14000000.0
Lexus GX 460 Luxury 2016 White,Lexus,GX 460,2016,Foreign used,Automatic,47500000.0
Hyundai Sonata 2012 Gray,Hyundai,Sonata,2012,Foreign used,Automatic,10500000.0
Lexus RX 350 2011 Silver,Lexus,RX 350,2011,Foreign used,Automatic,17500000.0
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2008 Silver,Toyota,Camry LE,2008,Local used,Automatic,6700000.0
Lexus RX 2013 Black,Lexus,RX,2013,Foreign used,Automatic,25000000.0
Lexus IS 250 2009 Silver,Lexus,IS 250,2009,Local used,Automatic,8700000.0
Mercedes-Benz CLK 2010 Gray,Mercedes-Benz,CLK,2010,Local used,Automatic,15000000.0
Mercedes-Benz S-Class S 550 2010 Black,Mercedes-Benz,S-Class S,2010,Local used,Automatic,21000000.0
Toyota Sienna XLE 2002 Green,Toyota,Sienna XLE,2002,Local used,Automatic,4200000.0
Honda CR-V EX Automatic 2007 Gold,Honda,CR-V EX,2007,Local used,Automatic,5300000.0
Ford Edge SEL 4dr FWD (3.5L 6cyl 6A) 2011 Silver,Ford,Edge SEL,2011,Foreign used,Automatic,12000000.0
Honda Civic 1.6i LS 2005 Blue,Honda,Civic 1,2005,Local used,Automatic,3600000.0
Lexus ES 350 FWD 2013 Silver,Lexus,ES 350,2013,Foreign used,Automatic,18500000.0
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2015 Gray,Toyota,Camry LE,2015,Foreign used,Automatic,13900000.0
Mercedes-Benz M Class ML 350 4Matic 2012 White,Mercedes-Benz,M Class,2012,Foreign used,Automatic,22500000.0
Mercedes-Benz GLK-Class 350 4MATIC 2012 Red,Mercedes-Benz,GLK-Class 350,2012,Foreign used,Automatic,15250000.0
Toyota Highlander XLE 4dr SUV AWD (3.5L 6cyl 6A) 2015 Gray,Toyota,Highlander XLE,2015,Foreign used,Automatic,26000000.0
Hyundai Sonata Limited 4dr Sedan (2.4L 4cyl 6A) 2015 Blue,Hyundai,Sonata Limited,2015,Foreign used,Automatic,13700000.0
Ford Edge SEL 4dr AWD (3.5L 6cyl 6A) 2009 Gray,Ford,Edge SEL,2009,Local used,Automatic,5700000.0
Lexus RX 330 AWD 2006 Gold,Lexus,RX 330,2006,Local used,Automatic,9950000.0
Toyota Corolla LE Eco Plus 4dr Sedan (1.8L 4cyl CVT) 2015 Black,Toyota,Corolla LE,2015,Local used,Automatic,11300000.0
Lexus ES 330 2005 Black,Lexus,ES 330,2005,Local used,Automatic,6150000.0
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2016 Gray,Toyota,Camry LE,2016,Foreign used,Automatic,14200000.0
BMW X3 2008 Silver,BMW,X3,2008,Local used,Automatic,6000000.0
Skoda Octavia 2010 Black,Skoda,Octavia,2010,Foreign used,Manual,9500000.0
Toyota Camry 2008 Gray,Toyota,Camry,2008,Local used,Automatic,7200000.0
Toyota Sienna XLE (3.5L 6cyl 8A) 2018 Black,Toyota,Sienna XLE,2018,Foreign used,Automatic,29000000.0
Mercedes-Benz GLC-Class 2018 Black,Mercedes-Benz,GLC-Class,2018,Foreign used,Automatic,36500000.0
Lexus RX 350 2017 Black,Lexus,RX 350,2017,Foreign used,Automatic,42500000.0
Mercedes-Benz GLC-Class 2016 Silver,Mercedes-Benz,GLC-Class,2016,Foreign used,Automatic,35000000.0
Hyundai Sonata 2018 Blue,Hyundai,Sonata,2018,Foreign used,Automatic,19000000.0
Mercedes-Benz GLE-Class GLE 350 2016 Black,Mercedes-Benz,GLE-Class GLE,2016,Foreign used,Automatic,34000000.0
Toyota RAV4 Limited 4dr SUV AWD (2.5L 4cyl 6A) 2015 White,Toyota,RAV4 Limited,2015,Foreign used,Automatic,21000000.0
Mercedes-Benz GLS-Class GLS450 4Matic 2017 Silver,Mercedes-Benz,GLS-Class GLS450,2017,Foreign used,Automatic,40000000.0
BMW 3 Series 2007 Gray,BMW,3 Series,2007,Local used,Automatic,3500000.0
Lexus RX 350 AWD 2018 Black,Lexus,RX 350,2018,Local used,Automatic,40000000.0
BMW 320i 2013 Black,BMW,320i,2013,Foreign used,Automatic,13500000.0
BMW 328i 2009 White,BMW,328i,2009,Foreign used,Automatic,11000000.0
Toyota Venza AWD 2010 Silver,Toyota,Venza AWD,2010,Local used,Automatic,12300000.0
Toyota Corolla 1.4 VVT-i 2006 Gold,Toyota,Corolla 1,2006,Local used,Automatic,4500000.0
Toyota Avalon 2014 Black,Toyota,Avalon,2014,Local used,Automatic,16500000.0
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Red,Toyota,Camry SE,2013,Local used,Automatic,10500000.0
Honda Pilot 2005 Silver,Honda,Pilot,2005,Local used,Automatic,2750000.0
Honda Accord Automatic 2005 Silver,Honda,Accord Automatic,2005,Local used,Automatic,2800000.0
Hyundai Santa Fe 2011 Gray,Hyundai,Santa Fe,2011,Local used,Automatic,5700000.0
Mercedes-Benz C300 Sport 4Matic Sedan AWD (3.0L 6cyl 7A) 2010 White,Mercedes-Benz,C300 Sport,2010,Local used,Automatic,6000000.0
Pontiac Vibe 2.4L 2010 Silver,Pontiac,Vibe 2,2010,Foreign used,Automatic,10000000.0
Mercedes-Benz GLK-Class 350 2014 Black,Mercedes-Benz,GLK-Class 350,2014,Local used,Automatic,10950000.0
Hyundai Santa Fe Limited Ultimate AWD 2018 White,Hyundai,Santa Fe,2018,Foreign used,Automatic,21000000.0
Toyota RAV4 LE AWD (2.5L 4cyl 6A) 2017 Gray,Toyota,RAV4 LE,2017,Foreign used,Automatic,23000000.0
Lexus ES 350 FWD 2014 White,Lexus,ES 350,2014,Foreign used,Automatic,23000000.0
Toyota Highlander LE 2019 Gray,Toyota,Highlander LE,2019,Foreign used,Automatic,24000000.0
Mercedes-Benz C300 Luxury Sedan RWD (2.0L 4cyl 7A) 2016 Silver,Mercedes-Benz,C300 Luxury,2016,Foreign used,Automatic,27500000.0
Chrysler 300C 2009 Green,Chrysler,300C,2009,Local used,Automatic,5000000.0
Lexus ES 2006 Green,Lexus,ES,2006,Local used,Automatic,5850000.0
Lexus ES 350 2008 White,Lexus,ES 350,2008,Foreign used,Automatic,11500000.0
Toyota Sienna XLE 8 Passenger 2012 Gray,Toyota,Sienna XLE,2012,Foreign used,Automatic,17800000.0
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2015 Gray,Mercedes-Benz,M Class,2015,Foreign used,Automatic,28500000.0
Lexus RX 350 2018 Burgundy,Lexus,RX 350,2018,Foreign used,Automatic,48500000.0
Mercedes-Benz C300 Base AWD 4Matic Sedan (2.0L 4cyl 7A) 2015 Black,Mercedes-Benz,C300 Base,2015,Foreign used,Automatic,28500000.0
Dodge Charger 2016 Brown,Dodge,Charger,2016,Foreign used,Automatic,25000000.0
Toyota Avalon Limited Sedan FWD (3.5L 6cyl 6A) 2013 Silver,Toyota,Avalon Limited,2013,Foreign used,Automatic,18500000.0
Mercedes-Benz C300 Base 4Matic Coupe AWD (2.0L 4cyl 7A) 2017 White,Mercedes-Benz,C300 Base,2017,Foreign used,Automatic,21000000.0
Lexus RX 350 2008 Blue,Lexus,RX 350,2008,Foreign used,Automatic,12500000.0
Lexus RX 350 FWD 2015 Off white,Lexus,RX 350,2015,Foreign used,Automatic,27500000.0
Mercedes-Benz M Class 2012 Blue,Mercedes-Benz,M Class,2012,Foreign used,Automatic,22000000.0
Hyundai Santa Fe 2013 Silver,Hyundai,Santa Fe,2013,Local used,Automatic,11900000.0
Toyota Sienna LE 7-Passenger 4dr Minivan AWD (3.5L 6cyl 6A) 2014 White,Toyota,Sienna LE,2014,Foreign used,Automatic,14500000.0
Toyota Corolla LE 2021 Blue,Toyota,Corolla LE,2021,Foreign used,Automatic,24000000.0
Mercedes-Benz E350 Base 4Matic Sedan AWD (3.5L 6cyl 5A) 2008 Black,Mercedes-Benz,E350 Base,2008,Foreign used,Automatic,5500000.0
Honda Pilot 2010 Black,Honda,Pilot,2010,Foreign used,Automatic,10500000.0
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6AM) 2010 Black,Toyota,Camry LE,2010,Local used,Automatic,5500000.0
Mercedes-Benz E350 2006 Black,Mercedes-Benz,E350,2006,Foreign used,Automatic,9000000.0
Mercedes-Benz M Class ML 350 4Matic 2013 Gray,Mercedes-Benz,M Class,2013,Local used,Automatic,21800000.0
Toyota Camry XSE (2.5L 4cyl 8A) 2019 Silver,Toyota,Camry XSE,2019,Foreign used,Automatic,35000000.0
Mercedes-Benz GLE-Class GLE 350 2017 Black,Mercedes-Benz,GLE-Class GLE,2017,Foreign used,Automatic,39500000.0
