title,make,model,year,condition,transmission,price
Lexus RX 350 2009 White,Lexus,RX 350,2009,foreign used,automatic,"₦ 12,850,000"
Hyundai Sonata Limited w/Brown Leather 4dr Sedan (2.4L 4cyl 6A) 2015,Hyundai,Sonata Limited,2015,foreign used,automatic,"₦ 15,450,000"
Toyota Highlander Limited 2012 Gray,Toyota,Highlander Limited,2012,local used,automatic,"₦ 14,500,000"
Mercedes-Benz C300 Base AWD 4Matic Sedan (2.0L 4cyl 7A) 2015 Black,Mercedes-Benz,C300 Base,2015,local used,automatic,"₦ 13,800,000"
Hyundai Elantra 2014 Silver,Hyundai,Elantra,2014,foreign used,automatic,"₦ 12,000,000"
Hyundai Sonata 2015 Blue,Hyundai,Sonata,2015,foreign used,automatic,"₦ 13,500,000"
Lexus IS 2010 Black,Lexus,IS,2010,local used,automatic,"₦ 15,000,000"
Lexus RX 350 2012 White,Lexus,RX 350,2012,foreign used,automatic,"₦ 19,000,000"
Honda Civic Sedan EX 2013 Brown,Honda,Civic Sedan,2013,foreign used,automatic,"₦ 13,500,000"
Toyota Camry 2009 Green,Toyota,Camry,2009,local used,automatic,"₦ 6,000,000"
Lexus RX 330 2004 Black,Lexus,RX 330,2004,foreign used,automatic,"₦ 11,800,000"
Toyota Sienna LE AWD 2005 Blue,Toyota,Sienna LE,2005,local used,automatic,"₦ 4,500,000"
Lexus ES 350 2008 Burgundy,Lexus,ES 350,2008,local used,automatic,"₦ 9,450,000"
Kia Rio 1.4 Automatic 2007 Silver,Kia,Rio 1,2007,local used,automatic,"₦ 3,600,000"
Toyota Sienna CE AWD 2006 Gray,Toyota,Sienna CE,2006,foreign used,automatic,"₦ 10,500,000"
Chevrolet Malibu LT 2019 Silver,Chevrolet,Malibu LT,2019,foreign used,automatic,"₦ 21,780,000"
Acura MDX Touring 4dr SUV AWD (3.5L 6cyl 5A) 2005 Green,Acura,MDX Touring,2005,local used,automatic,"₦ 3,500,000"
Toyota Corolla 2003 Gray,Toyota,Corolla,2003,local used,automatic,"₦ 3,800,000"
Land Rover Range Rover Vogue 2016 Black,Land,Rover Range,2016,foreign used,automatic,"₦ 40,000,000"
Toyota Highlander XLE 4dr SUV AWD (3.5L 6cyl 6A) 2015 White,Toyota,Highlander XLE,2015,foreign used,automatic,"₦ 28,000,000"
Toyota Yaris 2010 Black,Toyota,Yaris,2010,local used,manual,"₦ 4,300,000"
Lexus GX 460 Luxury 2016 Black,Lexus,GX 460,2016,foreign used,automatic,"₦ 55,000,000"
Lexus NX 200t FWD 2017 Gray,Lexus,NX 200t,2017,foreign used,automatic,"₦ 39,500,000"
Honda Ridgeline 2007 White,Honda,Ridgeline,2007,local used,automatic,"₦ 6,000,000"
Ford Focus 2018 Blue,Ford,Focus,2018,foreign used,automatic,"₦ 19,500,000"
Honda Accord 2.0 Sport 2008 Black,Honda,Accord 2,2008,foreign used,automatic,"₦ 4,000,000"
Toyota Hilux Revo Double Cab Petrol 2.7 AWD 2020 White,Toyota,Hilux Revo,2020,foreign used,automatic,"₦ 68,000,000"
Lexus ES 2005 Gold,Lexus,ES,2005,local used,automatic,"₦ 3,200,000"
Honda Civic 1.8 Sedan EX Automatic 2007 Silver,Honda,Civic 1,2007,local used,automatic,"₦ 4,300,000"
Toyota Highlander 2015 Blue,Toyota,Highlander,2015,local used,automatic,"₦ 24,000,000"
Toyota Corolla L 4dr Sedan (1.8L 4cyl 5M) 2012 Blue,Toyota,Corolla L,2012,local used,automatic,"₦ 7,650,000"
Toyota Sienta 2006 Blue,Toyota,Sienta,2006,local used,automatic,"₦ 4,500,000"
Honda Accord 2017 Gray,Honda,Accord,2017,foreign used,automatic,"₦ 18,000,000"
Land Rover Range Rover HSE 2005 Silver,Land,Rover Range,2005,local used,automatic,"₦ 6,500,000"
Chevrolet Malibu 2016 White,Chevrolet,Malibu,2016,foreign used,automatic,"₦ 13,500,000"
Toyota Land Cruiser 5.7 V8 VX-S 2008 White,Toyota,Land Cruiser,2008,local used,automatic,"₦ 14,500,000"
Toyota Venza XLE 4dr Wagon AWD (2.7L 4cyl 6A) 2015 Gray,Toyota,Venza XLE,2015,foreign used,automatic,"₦ 25,000,000"
Toyota Camry 2013 Black,Toyota,Camry,2013,local used,automatic,"₦ 8,750,000"
Hyundai Elantra 2014 Gray,Hyundai,Elantra,2014,foreign used,automatic,"₦ 12,500,000"
Honda Accord 2007 Black,Honda,Accord,2007,local used,automatic,"₦ 3,490,000"
Toyota Camry 2010 Black,Toyota,Camry,2010,local used,automatic,"₦ 6,700,000"
Toyota Corolla 2006 Blue,Toyota,Corolla,2006,local used,automatic,"₦ 5,500,000"
Honda CR-V 2023 White,Honda,CR-V,2023,foreign used,automatic,"₦ 59,900,000"
Honda Accord 2009 Red,Honda,Accord,2009,local used,automatic,"₦ 5,500,000"
Honda Civic 2008 Gray,Honda,Civic,2008,local used,automatic,"₦ 3,626,000"
Toyota Camry 2008 Green,Toyota,Camry,2008,local used,automatic,"₦ 4,500,000"
Toyota Camry 2008 Black,Toyota,Camry,2008,local used,automatic,"₦ 6,600,000"
Toyota Camry 2009 Gold,Toyota,Camry,2009,local used,automatic,"₦ 5,950,000"
Honda Crosstour 2010 Gray,Honda,Crosstour,2010,local used,automatic,"₦ 7,390,000"
Toyota Camry 2008 Black,Toyota,Camry,2008,local used,automatic,"₦ 4,200,000"
Mercedes-Benz C300 Luxury 4Matic Sedan AWD (3.5L 6cyl 7A) 2014 Gray,Mercedes-Benz,C300 Luxury,2014,foreign used,automatic,"₦ 12,200,000"
Toyota Camry XLE V6 4dr Sedan (3.5L 6cyl 6A) 2013 Gray,Toyota,Camry XLE,2013,local used,automatic,"₦ 14,200,000"
Toyota Camry 2009 Silver,Toyota,Camry,2009,local used,automatic,"₦ 6,300,000"
Mercedes-Benz GL-Class GL 450 2010 White,Mercedes-Benz,GL-Class GL,2010,foreign used,automatic,"₦ 14,000,000"
Lexus GX 460 Luxury 2016 White,Lexus,GX 460,2016,foreign used,automatic,"₦ 47,500,000"
Hyundai Sonata 2012 Gray,Hyundai,Sonata,2012,foreign used,automatic,"₦ 10,500,000"
Lexus RX 350 2011 Silver,Lexus,RX 350,2011,foreign used,automatic,"₦ 17,500,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2008 Silver,Toyota,Camry LE,2008,local used,automatic,"₦ 6,700,000"
Lexus RX 2013 Black,Lexus,RX,2013,foreign used,automatic,"₦ 25,000,000"
Lexus IS 250 2009 Silver,Lexus,IS 250,2009,local used,automatic,"₦ 8,700,000"
Mercedes-Benz CLK 2010 Gray,Mercedes-Benz,CLK,2010,local used,automatic,"₦ 15,000,000"
Mercedes-Benz S-Class S 550 2010 Black,Mercedes-Benz,S-Class S,2010,local used,automatic,"₦ 21,000,000"
Toyota Sienna XLE 2002 Green,Toyota,Sienna XLE,2002,local used,automatic,"₦ 4,200,000"
Honda CR-V EX Automatic 2007 Gold,Honda,CR-V EX,2007,local used,automatic,"₦ 5,300,000"
Ford Edge SEL 4dr FWD (3.5L 6cyl 6A) 2011 Silver,Ford,Edge SEL,2011,foreign used,automatic,"₦ 12,000,000"
Honda Civic 1.6i LS 2005 Blue,Honda,Civic 1,2005,local used,automatic,"₦ 3,600,000"
Lexus ES 350 FWD 2013 Silver,Lexus,ES 350,2013,foreign used,automatic,"₦ 18,500,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2015 Gray,Toyota,Camry LE,2015,foreign used,automatic,"₦ 13,900,000"
Mercedes-Benz M Class ML 350 4Matic 2012 White,Mercedes-Benz,M Class,2012,foreign used,automatic,"₦ 22,500,000"
Mercedes-Benz GLK-Class 350 4MATIC 2012 Red,Mercedes-Benz,GLK-Class 350,2012,foreign used,automatic,"₦ 15,250,000"
Toyota Highlander XLE 4dr SUV AWD (3.5L 6cyl 6A) 2015 Gray,Toyota,Highlander XLE,2015,foreign used,automatic,"₦ 26,000,000"
Hyundai Sonata Limited 4dr Sedan (2.4L 4cyl 6A) 2015 Blue,Hyundai,Sonata Limited,2015,foreign used,automatic,"₦ 13,700,000"
Ford Edge SEL 4dr AWD (3.5L 6cyl 6A) 2009 Gray,Ford,Edge SEL,2009,local used,automatic,"₦ 5,700,000"
Toyota Highlander Limited 2021 White,Toyota,Highlander Limited,2021,foreign used,automatic,"₦ 60,000,000"
Lexus RX 330 AWD 2006 Gold,Lexus,RX 330,2006,local used,automatic,"₦ 9,950,000"
Toyota Corolla LE Eco Plus 4dr Sedan (1.8L 4cyl CVT) 2015 Black,Toyota,Corolla LE,2015,local used,automatic,"₦ 11,300,000"
Lexus ES 330 2005 Black,Lexus,ES 330,2005,local used,automatic,"₦ 6,150,000"
Toyota Highlander XSE AWD 2023 Off white,Toyota,Highlander XSE,2023,foreign used,automatic,"₦ 80,000,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2016 Gray,Toyota,Camry LE,2016,foreign used,automatic,"₦ 14,200,000"
BMW X3 2008 Silver,BMW,X3,2008,local used,automatic,"₦ 6,000,000"
Skoda Octavia 2010 Black,Skoda,Octavia,2010,foreign used,manual,"₦ 9,500,000"
Toyota Camry 2008 Gray,Toyota,Camry,2008,local used,automatic,"₦ 7,200,000"
Toyota Sienna XLE (3.5L 6cyl 8A) 2018 Black,Toyota,Sienna XLE,2018,foreign used,automatic,"₦ 29,000,000"
Mercedes-Benz GLC-Class 2018 Black,Mercedes-Benz,GLC-Class,2018,foreign used,automatic,"₦ 36,500,000"
Lexus RX 350 2017 Black,Lexus,RX 350,2017,foreign used,automatic,"₦ 42,500,000"
Mercedes-Benz GLC-Class 2016 Silver,Mercedes-Benz,GLC-Class,2016,foreign used,automatic,"₦ 35,000,000"
Hyundai Sonata 2018 Blue,Hyundai,Sonata,2018,foreign used,automatic,"₦ 19,000,000"
Lexus LS 500 AWD 2018 Black,Lexus,LS 500,2018,foreign used,automatic,"₦ 89,000,000"
Mercedes-Benz GLE-Class 2016 Gray,Mercedes-Benz,GLE-Class,2016,foreign used,automatic,"₦ 62,000,000"
Mercedes-Benz GLE-Class GLE 450 4MATIC 2020 Black,Mercedes-Benz,GLE-Class GLE,2020,foreign used,automatic,"₦ 90,000,000"
Mercedes-Benz GLE-Class GLE 350 2016 Black,Mercedes-Benz,GLE-Class GLE,2016,foreign used,automatic,"₦ 34,000,000"
Toyota RAV4 Limited 4dr SUV AWD (2.5L 4cyl 6A) 2015 White,Toyota,RAV4 Limited,2015,foreign used,automatic,"₦ 21,000,000"
Mercedes-Benz GLS-Class GLS450 4Matic 2017 Silver,Mercedes-Benz,GLS-Class GLS450,2017,foreign used,automatic,"₦ 40,000,000"
BMW 3 Series 2007 Gray,BMW,3 Series,2007,local used,automatic,"₦ 3,500,000"
Lexus RX 350 AWD 2018 Black,Lexus,RX 350,2018,local used,automatic,"₦ 40,000,000"
BMW 320i 2013 Black,BMW,320i,2013,foreign used,automatic,"₦ 13,500,000"
Toyota Highlander XLE AWD 2020 Blue,Toyota,Highlander XLE,2020,foreign used,automatic,"₦ 53,950,000"
BMW 328i 2009 White,BMW,328i,2009,foreign used,automatic,"₦ 11,000,000"
Toyota Venza AWD 2010 Silver,Toyota,Venza AWD,2010,local used,automatic,"₦ 12,300,000"
Toyota Corolla 1.4 VVT-i 2006 Gold,Toyota,Corolla 1,2006,local used,automatic,"₦ 4,500,000"
Toyota Avalon 2014 Black,Toyota,Avalon,2014,local used,automatic,"₦ 16,500,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Red,Toyota,Camry SE,2013,local used,automatic,"₦ 10,500,000"
Honda Pilot 2005 Silver,Honda,Pilot,2005,local used,automatic,"₦ 2,750,000"
Honda Accord Automatic 2005 Silver,Honda,Accord Automatic,2005,local used,automatic,"₦ 2,800,000"
Hyundai Santa Fe 2011 Gray,Hyundai,Santa Fe,2011,local used,automatic,"₦ 5,700,000"
Mercedes-Benz GLE-Class GLE 450 4MATIC 2020 White,Mercedes-Benz,GLE-Class GLE,2020,foreign used,automatic,"₦ 90,000,000"
Mercedes-Benz C300 Sport 4Matic Sedan AWD (3.0L 6cyl 7A) 2010 White,Mercedes-Benz,C300 Sport,2010,local used,automatic,"₦ 6,000,000"
Mercedes-Benz GLE-Class AMG GLE 53 4MATIC 2021 Black,Mercedes-Benz,GLE-Class AMG,2021,foreign used,automatic,"₦ 140,000,000"
Pontiac Vibe 2.4L 2010 Silver,Pontiac,Vibe 2,2010,foreign used,automatic,"₦ 10,000,000"
Mercedes-Benz GLK-Class 350 2014 Black,Mercedes-Benz,GLK-Class 350,2014,local used,automatic,"₦ 10,950,000"
Hyundai Santa Fe Limited Ultimate AWD 2018 White,Hyundai,Santa Fe,2018,foreign used,automatic,"₦ 21,000,000"
Toyota Hilux 2023 Black,Toyota,Hilux,2023,foreign used,automatic,"₦ 80,000,000"
Toyota RAV4 LE AWD (2.5L 4cyl 6A) 2017 Gray,Toyota,RAV4 LE,2017,foreign used,automatic,"₦ 23,000,000"
Lexus LX 570 (5 seats) AWD 2017 Gold,Lexus,LX 570,2017,foreign used,automatic,"₦ 110,000,000"
Lexus ES 350 FWD 2014 White,Lexus,ES 350,2014,foreign used,automatic,"₦ 23,000,000"
Toyota Highlander LE 2019 Gray,Toyota,Highlander LE,2019,foreign used,automatic,"₦ 24,000,000"
Mercedes-Benz GLE-Class 2016 Black,Mercedes-Benz,GLE-Class,2016,local used,automatic,"₦ 55,000,000"
Mercedes-Benz C300 Luxury Sedan RWD (2.0L 4cyl 7A) 2016 Silver,Mercedes-Benz,C300 Luxury,2016,foreign used,automatic,"₦ 27,500,000"
Chrysler 300C 2009 Green,Chrysler,300C,2009,local used,automatic,"₦ 5,000,000"
Lexus ES 2006 Green,Lexus,ES,2006,local used,automatic,"₦ 5,850,000"
Lexus ES 350 2008 White,Lexus,ES 350,2008,foreign used,automatic,"₦ 11,500,000"
Toyota Sienna XLE 8 Passenger 2012 Gray,Toyota,Sienna XLE,2012,foreign used,automatic,"₦ 17,800,000"
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2015 Gray,Mercedes-Benz,M Class,2015,foreign used,automatic,"₦ 28,500,000"
Lexus RX 350 2018 Burgundy,Lexus,RX 350,2018,foreign used,automatic,"₦ 48,500,000"
Mercedes-Benz C300 Base AWD 4Matic Sedan (2.0L 4cyl 7A) 2015 Black,Mercedes-Benz,C300 Base,2015,foreign used,automatic,"₦ 28,500,000"
Land Rover Range Rover 2021 White,Land,Rover Range,2021,foreign used,automatic,"₦ 108,000,000"
Toyota Venza XLE 2021 Off white,Toyota,Venza XLE,2021,foreign used,automatic,"₦ 60,000,000"
Mercedes-Benz GLC-Class 2019 Blue,Mercedes-Benz,GLC-Class,2019,foreign used,automatic,"₦ 91,000,000"
Mercedes-Benz GLB-Class GLB 250 4MATIC 2022,Mercedes-Benz,GLB-Class GLB,2022,foreign used,automatic,"₦ 67,000,000"
Lexus RX 350 F Sport AWD 2017 White,Lexus,RX 350,2017,foreign used,automatic,"₦ 68,000,000"
Dodge Charger 2016 Brown,Dodge,Charger,2016,foreign used,automatic,"₦ 25,000,000"
Mercedes-Benz GLE-Class AMG GLE 63 S 4MATIC 2016 White,Mercedes-Benz,GLE-Class AMG,2016,local used,automatic,"₦ 70,000,000"
Mercedes-Benz GLE-Class AMG GLE 63 S 4MATIC 2016 Black,Mercedes-Benz,GLE-Class AMG,2016,foreign used,automatic,"₦ 89,000,000"
Toyota Avalon Limited Sedan FWD (3.5L 6cyl 6A) 2013 Silver,Toyota,Avalon Limited,2013,foreign used,automatic,"₦ 18,500,000"
Mercedes-Benz C300 Base 4Matic Coupe AWD (2.0L 4cyl 7A) 2017 White,Mercedes-Benz,C300 Base,2017,foreign used,automatic,"₦ 21,000,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2017 Black,Mercedes-Benz,GLE-Class AMG,2017,foreign used,automatic,"₦ 78,000,000"
Lexus RX 350 2008 Blue,Lexus,RX 350,2008,foreign used,automatic,"₦ 12,500,000"
Mercedes-Benz GLB-Class GLB 250 4MATIC 2021 Gray,Mercedes-Benz,GLB-Class GLB,2021,foreign used,automatic,"₦ 53,000,000"
Lexus RX 350 FWD 2015 Off white,Lexus,RX 350,2015,foreign used,automatic,"₦ 27,500,000"
Toyota Highlander Platinum 2021 Gray,Toyota,Highlander Platinum,2021,local used,automatic,"₦ 57,800,000"
